"Rakennusvaihe","Alue","Kuukausi","01 Asuinrakennukset Asunnot (kpl)"
"Aloitetut rakennushankkeet","KOKO MAA","1995M01",781
"Aloitetut rakennushankkeet","KOKO MAA","1995M02",531
"Aloitetut rakennushankkeet","KOKO MAA","1995M03",1356
"Aloitetut rakennushankkeet","KOKO MAA","1995M04",1792
"Aloitetut rakennushankkeet","KOKO MAA","1995M05",2933
"Aloitetut rakennushankkeet","KOKO MAA","1995M06",2131
"Aloitetut rakennushankkeet","KOKO MAA","1995M07",1357
"Aloitetut rakennushankkeet","KOKO MAA","1995M08",2002
"Aloitetut rakennushankkeet","KOKO MAA","1995M09",1572
"Aloitetut rakennushankkeet","KOKO MAA","1995M10",2058
"Aloitetut rakennushankkeet","KOKO MAA","1995M11",1051
"Aloitetut rakennushankkeet","KOKO MAA","1995M12",819
"Aloitetut rakennushankkeet","KOKO MAA","1996M01",1131
"Aloitetut rakennushankkeet","KOKO MAA","1996M02",762
"Aloitetut rakennushankkeet","KOKO MAA","1996M03",1578
"Aloitetut rakennushankkeet","KOKO MAA","1996M04",1706
"Aloitetut rakennushankkeet","KOKO MAA","1996M05",3078
"Aloitetut rakennushankkeet","KOKO MAA","1996M06",2928
"Aloitetut rakennushankkeet","KOKO MAA","1996M07",2059
"Aloitetut rakennushankkeet","KOKO MAA","1996M08",1832
"Aloitetut rakennushankkeet","KOKO MAA","1996M09",3196
"Aloitetut rakennushankkeet","KOKO MAA","1996M10",3282
"Aloitetut rakennushankkeet","KOKO MAA","1996M11",1844
"Aloitetut rakennushankkeet","KOKO MAA","1996M12",1016
"Aloitetut rakennushankkeet","KOKO MAA","1997M01",1507
"Aloitetut rakennushankkeet","KOKO MAA","1997M02",1399
"Aloitetut rakennushankkeet","KOKO MAA","1997M03",2105
"Aloitetut rakennushankkeet","KOKO MAA","1997M04",3770
"Aloitetut rakennushankkeet","KOKO MAA","1997M05",3894
"Aloitetut rakennushankkeet","KOKO MAA","1997M06",3786
"Aloitetut rakennushankkeet","KOKO MAA","1997M07",2492
"Aloitetut rakennushankkeet","KOKO MAA","1997M08",2781
"Aloitetut rakennushankkeet","KOKO MAA","1997M09",2828
"Aloitetut rakennushankkeet","KOKO MAA","1997M10",2982
"Aloitetut rakennushankkeet","KOKO MAA","1997M11",1833
"Aloitetut rakennushankkeet","KOKO MAA","1997M12",1064
"Aloitetut rakennushankkeet","KOKO MAA","1998M01",1731
"Aloitetut rakennushankkeet","KOKO MAA","1998M02",1295
"Aloitetut rakennushankkeet","KOKO MAA","1998M03",2339
"Aloitetut rakennushankkeet","KOKO MAA","1998M04",3541
"Aloitetut rakennushankkeet","KOKO MAA","1998M05",3607
"Aloitetut rakennushankkeet","KOKO MAA","1998M06",3787
"Aloitetut rakennushankkeet","KOKO MAA","1998M07",3232
"Aloitetut rakennushankkeet","KOKO MAA","1998M08",2998
"Aloitetut rakennushankkeet","KOKO MAA","1998M09",3249
"Aloitetut rakennushankkeet","KOKO MAA","1998M10",3051
"Aloitetut rakennushankkeet","KOKO MAA","1998M11",2099
"Aloitetut rakennushankkeet","KOKO MAA","1998M12",1276
"Aloitetut rakennushankkeet","KOKO MAA","1999M01",1545
"Aloitetut rakennushankkeet","KOKO MAA","1999M02",1243
"Aloitetut rakennushankkeet","KOKO MAA","1999M03",2041
"Aloitetut rakennushankkeet","KOKO MAA","1999M04",3695
"Aloitetut rakennushankkeet","KOKO MAA","1999M05",5241
"Aloitetut rakennushankkeet","KOKO MAA","1999M06",4318
"Aloitetut rakennushankkeet","KOKO MAA","1999M07",2970
"Aloitetut rakennushankkeet","KOKO MAA","1999M08",3110
"Aloitetut rakennushankkeet","KOKO MAA","1999M09",3596
"Aloitetut rakennushankkeet","KOKO MAA","1999M10",3495
"Aloitetut rakennushankkeet","KOKO MAA","1999M11",3002
"Aloitetut rakennushankkeet","KOKO MAA","1999M12",1945
"Aloitetut rakennushankkeet","KOKO MAA","2000M01",1745
"Aloitetut rakennushankkeet","KOKO MAA","2000M02",1593
"Aloitetut rakennushankkeet","KOKO MAA","2000M03",2562
"Aloitetut rakennushankkeet","KOKO MAA","2000M04",3543
"Aloitetut rakennushankkeet","KOKO MAA","2000M05",5556
"Aloitetut rakennushankkeet","KOKO MAA","2000M06",3571
"Aloitetut rakennushankkeet","KOKO MAA","2000M07",2537
"Aloitetut rakennushankkeet","KOKO MAA","2000M08",3304
"Aloitetut rakennushankkeet","KOKO MAA","2000M09",2993
"Aloitetut rakennushankkeet","KOKO MAA","2000M10",2904
"Aloitetut rakennushankkeet","KOKO MAA","2000M11",2500
"Aloitetut rakennushankkeet","KOKO MAA","2000M12",1488
"Aloitetut rakennushankkeet","KOKO MAA","2001M01",1768
"Aloitetut rakennushankkeet","KOKO MAA","2001M02",948
"Aloitetut rakennushankkeet","KOKO MAA","2001M03",1936
"Aloitetut rakennushankkeet","KOKO MAA","2001M04",3115
"Aloitetut rakennushankkeet","KOKO MAA","2001M05",3869
"Aloitetut rakennushankkeet","KOKO MAA","2001M06",3137
"Aloitetut rakennushankkeet","KOKO MAA","2001M07",2407
"Aloitetut rakennushankkeet","KOKO MAA","2001M08",2683
"Aloitetut rakennushankkeet","KOKO MAA","2001M09",2553
"Aloitetut rakennushankkeet","KOKO MAA","2001M10",2895
"Aloitetut rakennushankkeet","KOKO MAA","2001M11",2493
"Aloitetut rakennushankkeet","KOKO MAA","2001M12",1180
"Aloitetut rakennushankkeet","KOKO MAA","2002M01",1352
"Aloitetut rakennushankkeet","KOKO MAA","2002M02",1432
"Aloitetut rakennushankkeet","KOKO MAA","2002M03",1762
"Aloitetut rakennushankkeet","KOKO MAA","2002M04",3583
"Aloitetut rakennushankkeet","KOKO MAA","2002M05",4035
"Aloitetut rakennushankkeet","KOKO MAA","2002M06",3076
"Aloitetut rakennushankkeet","KOKO MAA","2002M07",2062
"Aloitetut rakennushankkeet","KOKO MAA","2002M08",2679
"Aloitetut rakennushankkeet","KOKO MAA","2002M09",3232
"Aloitetut rakennushankkeet","KOKO MAA","2002M10",2677
"Aloitetut rakennushankkeet","KOKO MAA","2002M11",2076
"Aloitetut rakennushankkeet","KOKO MAA","2002M12",1257
"Aloitetut rakennushankkeet","KOKO MAA","2003M01",1226
"Aloitetut rakennushankkeet","KOKO MAA","2003M02",1288
"Aloitetut rakennushankkeet","KOKO MAA","2003M03",1958
"Aloitetut rakennushankkeet","KOKO MAA","2003M04",3685
"Aloitetut rakennushankkeet","KOKO MAA","2003M05",4006
"Aloitetut rakennushankkeet","KOKO MAA","2003M06",4930
"Aloitetut rakennushankkeet","KOKO MAA","2003M07",2737
"Aloitetut rakennushankkeet","KOKO MAA","2003M08",3379
"Aloitetut rakennushankkeet","KOKO MAA","2003M09",3520
"Aloitetut rakennushankkeet","KOKO MAA","2003M10",3436
"Aloitetut rakennushankkeet","KOKO MAA","2003M11",2333
"Aloitetut rakennushankkeet","KOKO MAA","2003M12",1684
"Aloitetut rakennushankkeet","KOKO MAA","2004M01",1884
"Aloitetut rakennushankkeet","KOKO MAA","2004M02",1608
"Aloitetut rakennushankkeet","KOKO MAA","2004M03",2687
"Aloitetut rakennushankkeet","KOKO MAA","2004M04",3444
"Aloitetut rakennushankkeet","KOKO MAA","2004M05",4505
"Aloitetut rakennushankkeet","KOKO MAA","2004M06",4003
"Aloitetut rakennushankkeet","KOKO MAA","2004M07",2602
"Aloitetut rakennushankkeet","KOKO MAA","2004M08",3653
"Aloitetut rakennushankkeet","KOKO MAA","2004M09",3070
"Aloitetut rakennushankkeet","KOKO MAA","2004M10",2674
"Aloitetut rakennushankkeet","KOKO MAA","2004M11",2651
"Aloitetut rakennushankkeet","KOKO MAA","2004M12",1899
"Aloitetut rakennushankkeet","KOKO MAA","2005M01",1345
"Aloitetut rakennushankkeet","KOKO MAA","2005M02",1662
"Aloitetut rakennushankkeet","KOKO MAA","2005M03",2045
"Aloitetut rakennushankkeet","KOKO MAA","2005M04",3452
"Aloitetut rakennushankkeet","KOKO MAA","2005M05",5449
"Aloitetut rakennushankkeet","KOKO MAA","2005M06",4449
"Aloitetut rakennushankkeet","KOKO MAA","2005M07",2499
"Aloitetut rakennushankkeet","KOKO MAA","2005M08",3847
"Aloitetut rakennushankkeet","KOKO MAA","2005M09",3256
"Aloitetut rakennushankkeet","KOKO MAA","2005M10",3242
"Aloitetut rakennushankkeet","KOKO MAA","2005M11",2678
"Aloitetut rakennushankkeet","KOKO MAA","2005M12",1612
"Aloitetut rakennushankkeet","KOKO MAA","2006M01",1802
"Aloitetut rakennushankkeet","KOKO MAA","2006M02",1267
"Aloitetut rakennushankkeet","KOKO MAA","2006M03",2829
"Aloitetut rakennushankkeet","KOKO MAA","2006M04",3236
"Aloitetut rakennushankkeet","KOKO MAA","2006M05",5430
"Aloitetut rakennushankkeet","KOKO MAA","2006M06",4237
"Aloitetut rakennushankkeet","KOKO MAA","2006M07",2317
"Aloitetut rakennushankkeet","KOKO MAA","2006M08",4403
"Aloitetut rakennushankkeet","KOKO MAA","2006M09",3323
"Aloitetut rakennushankkeet","KOKO MAA","2006M10",3100
"Aloitetut rakennushankkeet","KOKO MAA","2006M11",2426
"Aloitetut rakennushankkeet","KOKO MAA","2006M12",1562
"Aloitetut rakennushankkeet","KOKO MAA","2007M01",1366
"Aloitetut rakennushankkeet","KOKO MAA","2007M02",1063
"Aloitetut rakennushankkeet","KOKO MAA","2007M03",2647
"Aloitetut rakennushankkeet","KOKO MAA","2007M04",3508
"Aloitetut rakennushankkeet","KOKO MAA","2007M05",4194
"Aloitetut rakennushankkeet","KOKO MAA","2007M06",3953
"Aloitetut rakennushankkeet","KOKO MAA","2007M07",2388
"Aloitetut rakennushankkeet","KOKO MAA","2007M08",4182
"Aloitetut rakennushankkeet","KOKO MAA","2007M09",3126
"Aloitetut rakennushankkeet","KOKO MAA","2007M10",2819
"Aloitetut rakennushankkeet","KOKO MAA","2007M11",2157
