"Kaupunginosa","Postinumero","Huoneisto","Talotyyppi","Asuinala","Huoneita","Velaton_hinta","Neliöhinta","Rakennusvuosi","Hissi","Kunto","Tontti","Energialuokka","Kerroksia","Kerrosnumero","Keskustaetäisyys_km"
"Kamppi","00100","1h, kk, kph","kt",29,1,208000,7172,1935,"on","tyyd.","oma","F",5,4,0.304470531084749
"Etu-töölö","00100","1h+k+kph+alkovi...","kt",44,1,300000,6818,1915,"on","hyvä","oma","D",5,1,0.304470531084749
"Kluuvi","00100","1h, avok, kph, ...","kt",27,1,239500,8870,1974,"on","hyvä","oma","D",9,9,0.304470531084749
"Etu-töölö","00100","1h, avok., kph,...","kt",24,1,233000,9510,1925,"on","hyvä","oma","E",6,6,0.304470531084749
"Kamppi","00100","1h,kk,kph","kt",25,1,198000,7920,1925,"on","tyyd.","oma","D",8,2,0.304470531084749
"Kamppi","00100","1h,avok,kph","kt",29,1,265000,9138,1925,"on","tyyd.","oma","D",7,7,0.304470531084749
"Etu-töölö","00100","1h, ks, kph","kt",19,1,173000,9105,1926,"on","tyyd.","oma","E",8,5,0.304470531084749
"Kamppi","00100","1h, avok, kph/wc","kt",19,1,175400,9135,1932,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h+kk","kt",31,1,225000,7212,1924,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h+kk","kt",31,1,225000,7212,1924,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h, kk, kph","kt",30,1,176000,5867,1936,"on","tyyd.","oma","E",4,1,0.304470531084749
"Etu-töölö","00100","1h+kk","kt",28,1,237000,8316,1939,"on","hyvä","oma","F",5,2,0.304470531084749
"Etu-töölö","00100","1h, kk, kph","kt",33,1,186000,5636,1938,"on","huono","oma","E",6,5,0.304470531084749
"Etu-töölö","00100","1h+k+kph+alkovi...","kt",40,1,245000,6125,1936,"on","tyyd.","oma","F",7,7,0.304470531084749
"Kamppi","00100","1h, avok, kph/wc","kt",17,1,162935,9154,1932,"ei","hyvä","oma","E",6,4,0.304470531084749
"Kamppi","00100","1h+k+kph","kt",19,1,183000,9632,1911,"on","hyvä","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h,k,alk,kh (Yj...","kt",48,1,320800,6614,1915,"on","hyvä","oma","D",6,3,0.304470531084749
"Töölö","00100","1h, kk, kph","kt",22,1,187000,8311,1928,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h+kph","kt",18,1,166000,9222,1912,"on","hyvä","oma","G",5,1,0.304470531084749
"Etu-töölö","00100","1h, k, kph","kt",41,1,250000,5967,1927,"on","huono","oma","D",7,5,0.304470531084749
"Etu-töölö","00100","1h, avok, kph","kt",32,1,260000,8125,1929,"ei","tyyd.","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","1h+kk+kph","kt",24,1,199000,8122,1935,"on","tyyd.","oma","D",7,4,0.304470531084749
"Etu-töölö","00100","1h, avok, alk, kph","kt",41,1,310000,7561,1928,"on","hyvä","oma","F",5,4,0.304470531084749
"Etu-töölö","00100","1h, avok, kph","kt",24,1,196000,8167,1929,"on","hyvä","oma","E",7,6,0.304470531084749
"Etu-töölö","00100","1h+k","kt",28,1,171000,6107,1915,"on","tyyd.","oma","G",6,1,0.304470531084749
"Etu-töölö","00100","1h+avok+vh+kph","kt",33,1,295000,8806,1939,"on","hyvä","oma","F",6,4,0.304470531084749
"Kamppi","00100","1h+k+kph+parvi","kt",26,1,233000,8792,1911,"on","hyvä","oma","D",6,5,0.304470531084749
"Kamppi","00100","1h+k+kph+erilli...","kt",19,1,182000,9579,1911,"on","hyvä","oma","D",6,5,0.304470531084749
"Kamppi","00100","1h+k+kph+parvi","kt",19,1,171858,8768,1911,"on","hyvä","oma","D",5,4,0.304470531084749
"Etu-töölö","00100","2h+avok+kph","kt",69,2,424000,6145,1928,"on","hyvä","oma","D",6,3,0.304470531084749
"Kamppi","00100","2h, k, kh, parveke","kt",62,2,285000,4560,1988,"on","tyyd.","vuokra","D",8,6,0.304470531084749
"Etu-töölö","00100","2h, avok, kph j...","kt",58,2,350000,6034,1931,"on","huono","oma","E",7,4,0.304470531084749
"Etu-töölö","00100","2h, kk, kph","kt",38,2,300000,7895,1923,"on","hyvä","oma","D",6,3,0.304470531084749
"Etu-töölö","00100","2h, k, kph, et","kt",56,2,423000,7487,1926,"on","hyvä","oma","D",6,2,0.304470531084749
"Kluuvi","00100","2h, k, kph, las...","kt",58,2,420000,7241,1974,"on","hyvä","oma","D",9,9,0.304470531084749
"Etu-töölö","00100","1-2h+ak+kph+alk...","kt",41,2,280000,6829,1934,"on","hyvä","oma","E",4,1,0.304470531084749
"Kamppi","00100","2h+kt+kph+vh (Y...","kt",50,2,380000,7600,1932,"on","hyvä","oma","D",7,6,0.304470531084749
"Etu-töölö","00100","2h+avok.+kph","kt",52,2,434500,8356,1928,"on","hyvä","oma","E",6,2,0.304470531084749
"Etu-töölö","00100","2h, avokeitti...","kt",40,2,320000,8000,1922,"on","hyvä","oma","D",6,1,0.304470531084749
"Kamppi","00100","2h, k, kph","kt",66,2,420000,6364,1929,"on","tyyd.","oma","E",5,2,0.304470531084749
"Kamppi","00100","2h, k","kt",63,2,420000,6614,1928,"on","tyyd.","oma","E",6,6,0.304470531084749
"Etu-töölö","00100","2h+alkovi+kk+kph","kt",56,2,345000,6106,1920,"on","tyyd.","oma","F",6,2,0.304470531084749
"Etu-töölö","00100","2h, avok, kph, wc","kt",46,2,349000,7505,1927,"on","hyvä","oma","E",6,2,0.304470531084749
"Etu-töölö","00100","2h+k+kph","kt",72,2,416000,5730,1926,"on","tyyd.","oma","F",6,1,0.304470531084749
"Etu-töölö","00100","2h+k+kph","kt",46,2,355500,7728,1932,"on","hyvä","oma","F",5,2,0.304470531084749
"Kamppi","00100","2h, avok, kph, ...","kt",50,2,280000,5600,1988,"on","hyvä","vuokra","E",8,3,0.304470531084749
"Etu-töölö","00100","2h, k, kph, eri...","kt",66,2,563500,8538,1922,"on","hyvä","oma","G",6,6,0.304470531084749
"Kamppi","00100","2h,k","kt",63,2,266931,4237,2001,"on","tyyd.","vuokra","D",7,5,0.304470531084749
"Etu-töölö","00100","2-3 huon, keitt...","kt",91,2,523000,5728,1926,"on","huono","oma","F",7,4,0.304470531084749
"Etu-töölö","00100","2-3 huon, keitt...","kt",91,2,523000,5728,1926,"on","huono","oma","F",7,4,0.304470531084749
"Etu-töölö","00100","2h+halli+k+kph+...","kt",81,2,448250,5500,1936,"on","hyvä","oma","F",7,5,0.304470531084749
"Etu-töölö","00100","2h, k ja kph","kt",72,2,455000,6259,1912,"on","tyyd.","oma","F",5,5,0.304470531084749
"Etu-töölö","00100","2h,avok,kph","kt",45,2,305000,6703,1928,"on","tyyd.","oma","F",6,5,0.304470531084749
"Etu-töölö","00100","2h+avok+kph+vh","kt",64,2,532000,8248,1939,"on","hyvä","oma","F",6,6,0.304470531084749
"Etu-töölö","00100","2h, k, kh","kt",65,2,394000,6015,1930,"on","tyyd.","oma","F",6,2,0.304470531084749
"Etu-töölö","00100","2h+kph+sauna","kt",50,2,398000,7960,1914,"on","hyvä","oma","D",6,6,0.304470531084749
"Etu-töölö","00100","2h, avokeitti...","kt",46,2,290000,6304,1927,"on","tyyd.","oma","D",6,3,0.304470531084749
"Etu-töölö","00100","2h, alkovi, kk,...","kt",44,2,370000,8277,1924,"on","hyvä","oma","D",6,6,0.304470531084749
